Question Type,Technology,Difficulty,Question 
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
True/False,React,Beginner,React uses a virtual DOM to improve performance.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
True/False,Angular,Hard,Angular is primarily used for backend development.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Coding,React,Beginner,Build a React component that displays a list of items.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
Coding,Python,Hard,Write a Python function to find the factorial of a number.
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Go,Intermediate,Go was developed by Google.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,React,Beginner,Build a React component that displays a list of items.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Python,Hard,Python supports multiple inheritance.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Python,Hard,Python supports multiple inheritance.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,Ruby,Hard,Write a Ruby method to calculate the Fibonacci sequence.
True/False,Angular,Hard,Angular is primarily used for backend development.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
Coding,Python,Intermediate,Write a Python function to find the factorial of a number.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
True/False,Go,Hard,Go was developed by Google.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
True/False,Java,Intermediate,"In Java, strings are mutable."
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
MCQs,Ruby,Hard,What is a block in Ruby?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,C++,Beginner,C++ allows function overloading.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
True/False,C++,Intermediate,C++ allows function overloading.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,Go,Hard,Go was developed by Google.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,Java,Hard,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Essay,TypeScript,Beginner,Discuss the benefits of using TypeScript in large-scale applications.
